partid,assembler
P18842,B
P8297,B
P25460,B
P24218,B
P12792,B
P13377,B
P1934,B
P21869,B
P28362,B
P20761,B
P21284,B
P4964,B
P11079,B
P29737,B
P11622,B
P25305,B
P21967,B
P15164,B
P23429,B
P7084,B
P23635,B
P19241,B
P7657,B
P14560,B
P20271,B
P1789,B
P23028,B
P20557,B
P21573,B
P27842,B
P3275,B
P3575,B
P25792,B
P21851,B
P11597,B
P13899,B
P29985,B
P21385,B
P19635,B
P5116,B
P2294,B
P14377,B
P29506,B
P23619,B
P4860,B
P14288,B
P20168,B
P23350,B
P19287,B
P18481,B
P5157,B
P6954,B
P29540,B
P26781,B
P28795,B
P25214,B
P19557,B
P9996,B
P3265,B
P18365,B
P1961,B
P16789,B
P723,B
P23681,B
P12458,B
P67,B
P12414,B
P126,B
P12178,B
P2709,B
P25220,B
P20599,B
P14369,B
P18687,B
P19201,B
P11556,B
P13464,B
P25808,B
P26371,B
P13397,B
P19168,B
P23379,B
P1140,B
P12540,B
P26800,B
P1282,B
P6684,B
P26620,B
P10875,B
P7092,B
P4347,B
P22737,B
P7560,B
P24204,B
P12906,B
P27882,B
P23456,B
P7789,B
P28094,B
P8567,B
P27053,B
P20819,B
P16817,B
P18506,B
P22162,B
P14240,B
P17900,B
P12913,B
P22851,B
P28834,B
P18537,B
P11059,B
P10673,B
P19726,B
P12586,B
P17062,B
P20192,B
P2363,B
P17066,B
P7753,B
P7776,B
P20948,B
P19194,B
P12290,B
P6595,B
P24800,B
P25497,B
P26062,B
P28053,B
P12206,B
P28690,B
P21322,B
P5315,B
P10525,B
P2881,B
P16187,B
P6305,B
P21897,B
P16198,B
P3978,B
P6040,B
P8822,B
P6020,B
P7397,B
P29425,B
P1613,B
P6220,B
P4532,B
P24436,B
P5138,B
P25418,B
P11883,B
P20454,B
P5211,B
P14987,B
P23951,B
P13259,B
P18549,B
P21613,B
P24738,B
P28649,B
P14998,B
P4244,B
P18302,B
P21394,B
P4260,B
P22804,B
P10224,B
P9107,B
P25784,B
P15253,B
P1710,B
P2810,B
P13366,B
P29556,B
P17903,B
P7641,B
P11288,B
P14338,B
P1395,B
P5935,B
P16282,B
P22598,B
P25560,B
P2951,B
P21089,B
P1936,B
P17131,B
P24808,B
P24470,B
P16634,B
P5496,B
P26950,B
P936,B
P6193,B
P28925,B
P12988,B
P19062,B
P27705,B
P24627,B
P5206,B
P7698,B
P8343,B
P12292,B
P12302,B
P27765,B
P21555,B
P16840,B
P16369,B
P21688,B
P9350,B
P14269,B
P3854,B
P2884,B
P5862,B
P18998,B
