partid,assembler
P29187,C
P11218,C
P23955,C
P29242,C
P22729,C
P17080,C
P2842,C
P20756,C
P1563,C
P12804,C
P23897,C
P14613,C
P21418,C
P18181,C
P16545,C
P1250,C
P9052,C
P24140,C
P26137,C
P27254,C
P28555,C
P3249,C
P15085,C
P29417,C
P29590,C
P20976,C
P1524,C
P7832,C
P6187,C
P2798,C
P24237,C
P15978,C
P18111,C
P9900,C
P14723,C
P8740,C
P5618,C
P24055,C
P22328,C
P7430,C
P22866,C
P9415,C
P20353,C
P7055,C
P3432,C
P1173,C
P2524,C
P14634,C
P18421,C
P16793,C
P735,C
P23262,C
P2957,C
P26275,C
P20613,C
P14246,C
P7927,C
P1433,C
P15235,C
P24937,C
P7161,C
P18282,C
P15021,C
P10810,C
P19992,C
P13943,C
P6201,C
P19753,C
P21027,C
P8151,C
P3574,C
P2077,C
P25071,C
P600,C
P10209,C
P9772,C
P17926,C
P4361,C
P19769,C
P27486,C
P11316,C
P29690,C
P29383,C
P2912,C
P29416,C
P8731,C
P21684,C
P18626,C
P21787,C
P4491,C
P25079,C
P13365,C
P12134,C
P25586,C
P26280,C
P14411,C
P21092,C
P26770,C
P15572,C
P12807,C
P8367,C
P1154,C
P3972,C
P20021,C
P13658,C
P19126,C
P10771,C
P11299,C
P22297,C
P8029,C
P23603,C
P26577,C
P21976,C
P5870,C
P1500,C
P10855,C
P20125,C
P13766,C
P8991,C
P16593,C
P10888,C
P258,C
P3877,C
P7821,C
P28597,C
P1601,C
P29529,C
P6307,C
P23724,C
P27518,C
P10442,C
P21043,C
P5750,C
P12785,C
P27190,C
P26457,C
P29034,C
P6722,C
P15442,C
P20800,C
P10732,C
P22951,C
P27170,C
P12651,C
P19644,C
P4592,C
P23309,C
P9408,C
P7082,C
P8207,C
P10947,C
P16074,C
P709,C
P18281,C
P11807,C
P14831,C
P15292,C
P20559,C
P27721,C
P21480,C
P9405,C
P17564,C
P26392,C
P13908,C
P27867,C
P14701,C
P19282,C
P7957,C
P4294,C
P3886,C
P861,C
P25117,C
P17207,C
P26882,C
P15583,C
P25697,C
P27915,C
P28327,C
P17968,C
P18501,C
P25531,C
P19217,C
P1149,C
P19242,C
P8899,C
P18489,C
P23618,C
P22560,C
P28848,C
P5515,C
P9677,C
P11143,C
P18889,C
P16185,C
P6747,C
P23930,C
P27268,C
P3503,C
