partid,cfp,co2
P3531,0.4678,0.4678
P6687,0.3929,0.3929
P19188,0.2862,0.2862
P13302,0.1127,0.1127
P23686,0.6932,0.6932
P8620,0.6451,0.6451
P5612,0.8226,0.8226
P25260,0.3483,0.3483
P25300,0.4495,0.4495
P9823,0.7211,0.7211
P7664,0.4398,0.4398
P27485,0.2778,0.2778
P16546,0.7415,0.7415
P27891,0.5425,0.5425
P6087,0.3886,0.3886
P26824,0.8442,0.8442
P28989,0.6659,0.6659
P26610,0.921,0.921
P27159,0.7188,0.7188
P28545,0.6759,0.6759
P24549,0.6814,0.6814
P3370,0.5593,0.5593
P17624,0.8535,0.8535
P27809,0.3696,0.3696
P15798,0.4113,0.4113
P24863,0.1976,0.1976
P2112,0.2881,0.2881
P9089,0.6395,0.6395
P26452,0.693,0.693
P2618,0.9111,0.9111
P21019,0.6279,0.6279
P24422,0.6797,0.6797
P7178,0.3898,0.3898
P912,0.4776,0.4776
P6452,0.6152,0.6152
P15449,0.9854,0.9854
P20726,0.9062,0.9062
P16340,0.7011,0.7011
P1361,0.1085,0.1085
P10367,0.1408,0.1408
P13288,0.8191,0.8191
P28124,0.5258,0.5258
P1943,0.6344,0.6344
P3910,0.5101,0.5101
P23232,0.2027,0.2027
P22256,0.6194,0.6194
P22795,0.4568,0.4568
P6169,0.9797,0.9797
P9124,0.911,0.911
P6699,0.2182,0.2182
P13070,0.6994,0.6994
P434,0.893,0.893
P18265,0.9879,0.9879
P3138,0.4614,0.4614
P15357,0.8976,0.8976
P7467,0.602,0.602
P24099,0.4592,0.4592
P6847,0.8995,0.8995
P408,0.4428,0.4428
P19214,0.9052,0.9052
P25047,0.4704,0.4704
P439,0.1758,0.1758
P12991,0.3364,0.3364
P2893,0.3111,0.3111
P1784,0.1338,0.1338
P18603,0.634,0.634
P19331,0.8202,0.8202
P16182,0.3687,0.3687
P19506,0.539,0.539
P5901,0.1043,0.1043
P7372,0.4742,0.4742
P5879,0.9937,0.9937
P5467,0.2458,0.2458
P25284,0.7987,0.7987
P13763,0.2059,0.2059
P9795,0.8642,0.8642
P8917,0.2463,0.2463
P13596,0.3047,0.3047
P24538,0.5329,0.5329
P19593,0.7502,0.7502
P3112,0.5507,0.5507
P21406,0.4045,0.4045
P10580,0.6266,0.6266
P9660,0.782,0.782
P12223,0.701,0.701
P26762,0.6127,0.6127
P1278,0.8793,0.8793
P17256,0.2377,0.2377
P8188,0.7163,0.7163
P1302,0.6556,0.6556
P26012,0.3606,0.3606
P3774,0.6312,0.6312
P24988,0.7019,0.7019
P6969,0.1799,0.1799
P11587,0.3512,0.3512
P21265,0.7484,0.7484
P626,0.6022,0.6022
P7262,0.773,0.773
P28932,0.1618,0.1618
P14048,0.2239,0.2239
P15340,0.5493,0.5493
P2811,0.722,0.722
P1481,0.8516,0.8516
P28574,0.531,0.531
P28121,0.546,0.546
P6114,0.9776,0.9776
P18686,0.3203,0.3203
P26745,0.2123,0.2123
P18749,0.8556,0.8556
P15483,0.1597,0.1597
P17328,0.6767,0.6767
P4470,0.9999,0.9999
P22009,0.5968,0.5968
P11313,0.9988,0.9988
P2286,0.498,0.498
P599,0.5184,0.5184
P9435,0.5691,0.5691
P8197,0.1165,0.1165
P29834,0.1647,0.1647
P17441,0.7377,0.7377
P6325,0.7683,0.7683
P16825,0.4761,0.4761
P3805,0.2714,0.2714
P9916,0.5742,0.5742
P24036,0.1982,0.1982
P13978,0.4152,0.4152
P13074,0.6149,0.6149
P7838,0.4031,0.4031
P13128,0.756,0.756
P6142,0.8503,0.8503
P15866,0.5225,0.5225
P29614,0.2023,0.2023
P11164,0.3814,0.3814
P17570,0.8159,0.8159
P14620,0.4923,0.4923
P18051,0.782,0.782
P14421,0.2962,0.2962
P23668,0.4788,0.4788
P15862,0.8057,0.8057
P14069,0.6666,0.6666
P13719,0.5971,0.5971
P19251,0.5909,0.5909
P16934,0.4781,0.4781
P1699,0.5871,0.5871
P22716,0.73,0.73
P24930,0.8389,0.8389
P19380,0.8133,0.8133
P18343,0.8641,0.8641
P25802,0.7804,0.7804
P23993,0.8223,0.8223
P18152,0.5811,0.5811
P26169,0.1882,0.1882
P7959,0.7287,0.7287
P23519,0.8874,0.8874
P16387,0.5555,0.5555
P19135,0.4106,0.4106
P9920,0.1703,0.1703
P3054,0.6403,0.6403
P287,0.9226,0.9226
P18776,0.8069,0.8069
P26458,0.1605,0.1605
P28089,0.245,0.245
P6652,0.8175,0.8175
P26364,0.4082,0.4082
P21902,0.5786,0.5786
P27647,0.2986,0.2986
P26387,0.7544,0.7544
P10462,0.1823,0.1823
P21973,0.382,0.382
P12861,0.634,0.634
P21628,0.3559,0.3559
P10109,0.796,0.796
P16051,0.7208,0.7208
P16460,0.345,0.345
P15096,0.7678,0.7678
P16858,0.2483,0.2483
P12427,0.7557,0.7557
P939,0.3979,0.3979
P3898,0.7112,0.7112
P6672,0.1299,0.1299
P1511,0.7001,0.7001
P24439,0.2933,0.2933
P1174,0.8043,0.8043
P10157,0.5296,0.5296
P10705,0.2113,0.2113
P26351,0.5315,0.5315
P8081,0.2346,0.2346
P13497,0.4753,0.4753
P12131,0.2158,0.2158
P3530,0.3799,0.3799
P8519,0.5835,0.5835
P24418,0.7874,0.7874
P9204,0.2922,0.2922
P4024,0.1526,0.1526
P16893,0.4954,0.4954
P12679,0.2445,0.2445
P18900,0.4419,0.4419
P6210,0.3858,0.3858
P28415,0.4695,0.4695
P27708,0.5978,0.5978
P1386,0.3742,0.3742
P22131,0.6686,0.6686
P1111,0.7593,0.7593
P19601,0.3436,0.3436
P11369,0.9161,0.9161
P5584,0.8114,0.8114
P17743,0.3215,0.3215
P20974,0.6213,0.6213
P15148,0.9484,0.9484
P5508,0.4256,0.4256
P16465,0.154,0.154
P21939,0.3427,0.3427
P23664,0.6988,0.6988
P27498,0.2777,0.2777
P24245,0.2791,0.2791
P19988,0.3197,0.3197
P22893,0.9615,0.9615
P18356,0.2155,0.2155
P27196,0.7344,0.7344
P6547,0.9333,0.9333
P10842,0.2055,0.2055
P11416,0.9992,0.9992
P2930,0.5409,0.5409
P5085,0.6501,0.6501
P23008,0.315,0.315
P7390,0.1287,0.1287
P22931,0.1226,0.1226
P13717,0.1318,0.1318
P29683,0.5805,0.5805
P21692,0.6767,0.6767
P3087,0.7511,0.7511
P17446,0.1521,0.1521
P8750,0.5876,0.5876
P15100,0.6371,0.6371
P20131,0.7953,0.7953
P26980,0.5149,0.5149
P4949,0.8008,0.8008
P5652,0.8835,0.8835
P13923,0.5032,0.5032
P2826,0.3048,0.3048
P26598,0.4531,0.4531
P13680,0.6722,0.6722
P29773,0.8136,0.8136
P4212,0.8139,0.8139
P2095,0.1964,0.1964
P14686,0.2288,0.2288
P25270,0.5674,0.5674
P4070,0.5102,0.5102
P11714,0.5382,0.5382
P17511,0.5391,0.5391
P29815,0.2854,0.2854
P14345,0.2331,0.2331
P12705,0.7719,0.7719
P1044,0.5456,0.5456
P12993,0.2408,0.2408
P28928,0.4854,0.4854
P17377,0.2539,0.2539
P4100,0.5133,0.5133
P1333,0.5143,0.5143
P22521,0.9426,0.9426
P2393,0.4591,0.4591
P8078,0.2309,0.2309
P26894,0.2773,0.2773
P1202,0.9359,0.9359
P1660,0.3182,0.3182
P18285,0.62,0.62
P13412,0.2981,0.2981
P8590,0.2511,0.2511
P972,0.2138,0.2138
P10358,0.4752,0.4752
P10853,0.9411,0.9411
P16956,0.8548,0.8548
P27727,0.4187,0.4187
P24998,0.3074,0.3074
P23371,0.3225,0.3225
P8035,0.4077,0.4077
P27183,0.9419,0.9419
P27325,0.2428,0.2428
P19949,0.3471,0.3471
P19128,0.4322,0.4322
P8986,0.3635,0.3635
P14260,0.216,0.216
P19520,0.1812,0.1812
P17433,0.3577,0.3577
P11553,0.7627,0.7627
P17342,0.3852,0.3852
P24062,0.2232,0.2232
P13097,0.9287,0.9287
P22534,0.3097,0.3097
P1087,0.3354,0.3354
P24146,0.1292,0.1292
P9241,0.7942,0.7942
P27028,0.326,0.326
P22108,0.3516,0.3516
P1161,0.9785,0.9785
P23966,0.7822,0.7822
P26398,0.2467,0.2467
P9344,0.7227,0.7227
P14878,0.1507,0.1507
P24938,0.1331,0.1331
P23968,0.4822,0.4822
P28519,0.8962,0.8962
P25059,0.7331,0.7331
P11033,0.1386,0.1386
P26689,0.8983,0.8983
P332,0.1704,0.1704
P22215,0.4662,0.4662
P21318,0.3734,0.3734
P10714,0.6586,0.6586
P17470,0.584,0.584
P9696,0.2785,0.2785
P24385,0.2571,0.2571
P21523,0.9072,0.9072
P17435,0.6761,0.6761
P23833,0.4551,0.4551
P13408,0.1828,0.1828
P21230,0.1618,0.1618
P28275,0.9744,0.9744
P3723,0.7909,0.7909
P23725,0.3694,0.3694
P1170,0.4061,0.4061
P623,0.7921,0.7921
P16401,0.6732,0.6732
P8559,0.9974,0.9974
P21734,0.8722,0.8722
P13590,0.1629,0.1629
P28142,0.2016,0.2016
P21467,0.2192,0.2192
P11598,0.9218,0.9218
P2496,0.1267,0.1267
P26233,0.1045,0.1045
P6572,0.3087,0.3087
P209,0.8619,0.8619
P6873,0.4699,0.4699
P23729,0.8827,0.8827
P21482,0.6438,0.6438
P11461,0.8236,0.8236
P18634,0.2985,0.2985
P3786,0.1576,0.1576
P11909,0.6929,0.6929
P18366,0.6718,0.6718
P1717,0.135,0.135
P14316,0.6876,0.6876
P16477,0.3449,0.3449
P23794,0.2282,0.2282
P23055,0.788,0.788
P25391,0.3305,0.3305
P4414,0.3829,0.3829
P29080,0.9146,0.9146
P9964,0.4566,0.4566
P7081,0.6929,0.6929
P18250,0.1311,0.1311
P26229,0.2667,0.2667
P28938,0.7249,0.7249
P3437,0.1955,0.1955
P17315,0.4716,0.4716
P13681,0.4045,0.4045
P27085,0.9489,0.9489
P29270,0.8007,0.8007
P24292,0.2565,0.2565
P2726,0.3951,0.3951
P9582,0.5019,0.5019
P1553,0.9412,0.9412
P27011,0.1139,0.1139
P18289,0.787,0.787
P1756,0.7926,0.7926
P179,0.9512,0.9512
P28392,0.8885,0.8885
P7729,0.5527,0.5527
P27828,0.5708,0.5708
P12862,0.3169,0.3169
P5720,0.7099,0.7099
P21474,0.8019,0.8019
P27955,0.9848,0.9848
P27119,0.6128,0.6128
P16132,0.5312,0.5312
P8938,0.9721,0.9721
P8815,0.944,0.944
P26842,0.7899,0.7899
P1428,0.6284,0.6284
P29105,0.4811,0.4811
P9659,0.8787,0.8787
P12310,0.7939,0.7939
P26904,0.7042,0.7042
P14850,0.5119,0.5119
P15037,0.154,0.154
P22155,0.4111,0.4111
P5912,0.2897,0.2897
P13835,0.8666,0.8666
P19328,0.9666,0.9666
P22884,0.4512,0.4512
P13052,0.8824,0.8824
P5230,0.6531,0.6531
P10184,0.8559,0.8559
P3353,0.7118,0.7118
P10054,0.1676,0.1676
P3588,0.8249,0.8249
P9969,0.4366,0.4366
P4316,0.7896,0.7896
P19353,0.356,0.356
P301,0.3368,0.3368
P12365,0.3115,0.3115
P27724,0.2017,0.2017
P2139,0.8408,0.8408
P9262,0.1132,0.1132
P2132,0.2185,0.2185
P23475,0.7574,0.7574
P14771,0.8517,0.8517
P8568,0.9762,0.9762
P17777,0.2793,0.2793
P858,0.1118,0.1118
P26830,0.2899,0.2899
P9652,0.9549,0.9549
P28569,0.4986,0.4986
P23627,0.9003,0.9003
P10924,0.3267,0.3267
P13713,0.4355,0.4355
P9059,0.9454,0.9454
P12973,0.2609,0.2609
P16706,0.5169,0.5169
P20585,0.3732,0.3732
P25602,0.9207,0.9207
P7862,0.281,0.281
P6727,0.2837,0.2837
P1942,0.6621,0.6621
P10053,0.4714,0.4714
P13258,0.8962,0.8962
P3187,0.8231,0.8231
P1024,0.5185,0.5185
P16392,0.7753,0.7753
P20545,0.3862,0.3862
P23202,0.7809,0.7809
P17341,0.3347,0.3347
P1554,0.9616,0.9616
P5650,0.9146,0.9146
P26158,0.2856,0.2856
P28157,0.7572,0.7572
P5814,0.2135,0.2135
P22168,0.6345,0.6345
P18220,0.5654,0.5654
P22391,0.642,0.642
P23014,0.8132,0.8132
P18476,0.3722,0.3722
P21913,0.7844,0.7844
P18499,0.2445,0.2445
P4658,0.9053,0.9053
P6316,0.4504,0.4504
P23782,0.5496,0.5496
P23697,0.896,0.896
P20849,0.47,0.47
P16172,0.7739,0.7739
P9651,0.6053,0.6053
P15208,0.6755,0.6755
P7836,0.3378,0.3378
P12890,0.82,0.82
P27218,0.1199,0.1199
P11568,0.338,0.338
P523,0.7036,0.7036
P5936,0.4533,0.4533
P26718,0.8527,0.8527
P22273,0.6002,0.6002
P15003,0.6969,0.6969
P16707,0.3003,0.3003
P364,0.8658,0.8658
P28017,0.1644,0.1644
P17372,0.5939,0.5939
P4963,0.938,0.938
P21279,0.2233,0.2233
P26638,0.5044,0.5044
P14741,0.7065,0.7065
P25212,0.6608,0.6608
P12606,0.7176,0.7176
P6319,0.3986,0.3986
P9184,0.7375,0.7375
P17104,0.2103,0.2103
P21891,0.2069,0.2069
P8441,0.843,0.843
P12419,0.3332,0.3332
P18172,0.2714,0.2714
P22011,0.9011,0.9011
P16667,0.3046,0.3046
P29128,0.6789,0.6789
P22757,0.2576,0.2576
P25426,0.5849,0.5849
P20007,0.9859,0.9859
P11791,0.7796,0.7796
P24726,0.4113,0.4113
P1649,0.4225,0.4225
P20602,0.7449,0.7449
P8436,0.1991,0.1991
P429,0.5204,0.5204
P4546,0.9006,0.9006
P28682,0.181,0.181
P15887,0.827,0.827
P2903,0.5984,0.5984
P20952,0.1647,0.1647
P13822,0.8946,0.8946
P16007,0.3474,0.3474
P7160,0.1792,0.1792
P17021,0.2525,0.2525
P23444,0.4499,0.4499
P2133,0.9156,0.9156
P25073,0.998,0.998
P14009,0.7187,0.7187
P10856,0.2032,0.2032
P24891,0.4221,0.4221
P10749,0.7267,0.7267
P12298,0.1911,0.1911
P11614,0.1123,0.1123
P8570,0.8705,0.8705
P5836,0.6739,0.6739
P2687,0.1475,0.1475
P17883,0.1007,0.1007
P13906,0.2356,0.2356
P14630,0.9469,0.9469
P2682,0.7704,0.7704
P21193,0.4816,0.4816
P7491,0.9197,0.9197
P4033,0.8512,0.8512
P1842,0.6713,0.6713
P24118,0.8968,0.8968
P22913,0.7409,0.7409
P16848,0.7247,0.7247
P13980,0.643,0.643
P3884,0.6228,0.6228
P15945,0.9409,0.9409
P21945,0.198,0.198
P12721,0.809,0.809
P23361,0.3707,0.3707
P525,0.2682,0.2682
P29700,0.7464,0.7464
P2175,0.3831,0.3831
P12652,0.1691,0.1691
P25622,0.3513,0.3513
P25194,0.2734,0.2734
P9970,0.4343,0.4343
P4866,0.9311,0.9311
P21215,0.9718,0.9718
P18881,0.931,0.931
P11664,0.4663,0.4663
P331,0.6818,0.6818
P24812,0.135,0.135
P27679,0.7539,0.7539
P6973,0.9612,0.9612
P3120,0.7755,0.7755
P9785,0.9353,0.9353
P25393,0.9991,0.9991
P27488,0.3647,0.3647
P16984,0.2799,0.2799
P2846,0.2584,0.2584
P20884,0.1651,0.1651
P19665,0.2536,0.2536
P13993,0.2157,0.2157
P3912,0.2011,0.2011
P1866,0.9512,0.9512
P7088,0.1718,0.1718
P5450,0.515,0.515
P12517,0.3693,0.3693
P8898,0.7571,0.7571
P5601,0.6533,0.6533
P17957,0.7738,0.7738
P14342,0.2475,0.2475
P7117,0.8543,0.8543
P9219,0.6211,0.6211
P16451,0.6645,0.6645
P19605,0.2427,0.2427
P6143,0.7497,0.7497
P5869,0.5358,0.5358
P29542,0.3526,0.3526
P6457,0.7187,0.7187
P27561,0.1303,0.1303
P21950,0.4058,0.4058
P19321,0.905,0.905
P16879,0.7563,0.7563
P25440,0.2166,0.2166
P19512,0.767,0.767
P23907,0.3402,0.3402
P713,0.4828,0.4828
P7353,0.1744,0.1744
P29973,0.7627,0.7627
P20854,0.3505,0.3505
P9397,0.3188,0.3188
P16922,0.9355,0.9355
P23532,0.1421,0.1421
P27764,0.3189,0.3189
P20940,0.6404,0.6404
P14184,0.6009,0.6009
P26786,0.1129,0.1129
P12726,0.8554,0.8554
P18750,0.8149,0.8149
P9053,0.2214,0.2214
P17461,0.1581,0.1581
P13101,0.1462,0.1462
P1010,0.5199,0.5199
P13203,0.3954,0.3954
P23793,0.4429,0.4429
P9989,0.3158,0.3158
P9615,0.1641,0.1641
P15108,0.6369,0.6369
P19633,0.6196,0.6196
P11310,0.4304,0.4304
P27130,0.3082,0.3082
P13286,0.8638,0.8638
P23339,0.8655,0.8655
P15486,0.8179,0.8179
P8857,0.233,0.233
P11278,0.8631,0.8631
P26425,0.3843,0.3843
P3643,0.916,0.916
P9234,0.8036,0.8036
P390,0.2577,0.2577
P10023,0.8359,0.8359
P23289,0.7463,0.7463
P12930,0.6783,0.6783
P17633,0.8956,0.8956
P9815,0.2645,0.2645
P9856,0.7013,0.7013
P28130,0.623,0.623
P9496,0.708,0.708
P21495,0.4215,0.4215
P11104,0.9888,0.9888
P11140,0.6773,0.6773
P9006,0.3111,0.3111
P13417,0.9617,0.9617
P20839,0.9694,0.9694
P23956,0.9,0.9
P4293,0.9048,0.9048
P26693,0.8088,0.8088
P1141,0.7624,0.7624
P29227,0.3162,0.3162
P8318,0.3768,0.3768
P18132,0.3819,0.3819
P24802,0.9729,0.9729
P28761,0.7563,0.7563
P10080,0.789,0.789
P3523,0.4918,0.4918
P11845,0.6352,0.6352
P21711,0.5112,0.5112
P638,0.1685,0.1685
P29494,0.5079,0.5079
P23242,0.6661,0.6661
P10527,0.2028,0.2028
P24401,0.625,0.625
P4679,0.2922,0.2922
P7529,0.4615,0.4615
P6783,0.9758,0.9758
P4456,0.2066,0.2066
P11728,0.3204,0.3204
P9249,0.5721,0.5721
P5788,0.857,0.857
P27593,0.9343,0.9343
P28096,0.7467,0.7467
P842,0.3759,0.3759
P3649,0.4207,0.4207
P24063,0.5981,0.5981
P4715,0.2371,0.2371
P18010,0.7105,0.7105
P2753,0.2015,0.2015
P21679,0.3573,0.3573
P9977,0.1977,0.1977
P19342,0.8274,0.8274
P11496,0.759,0.759
P3861,0.5822,0.5822
P554,0.1668,0.1668
P3086,0.8041,0.8041
P26812,0.2862,0.2862
P21875,0.3093,0.3093
P3909,0.8465,0.8465
P1575,0.7124,0.7124
P18866,0.6572,0.6572
P10694,0.5198,0.5198
P2097,0.1934,0.1934
P27684,0.7804,0.7804
P1819,0.5997,0.5997
P13531,0.435,0.435
P18849,0.8838,0.8838
P8630,0.3699,0.3699
P23952,0.1535,0.1535
P16191,0.818,0.818
P16168,0.1374,0.1374
P16335,0.1108,0.1108
P2471,0.561,0.561
P1143,0.66,0.66
P29032,0.1283,0.1283
P7445,0.5072,0.5072
P28405,0.708,0.708
P7712,0.3409,0.3409
P16445,0.2439,0.2439
P18919,0.3166,0.3166
P19670,0.429,0.429
P2456,0.4845,0.4845
P8819,0.4178,0.4178
P2747,0.4085,0.4085
P8123,0.4723,0.4723
P7351,0.1419,0.1419
P15744,0.8101,0.8101
P8467,0.7339,0.7339
P20747,0.1382,0.1382
P27348,0.7854,0.7854
P13639,0.306,0.306
P27458,0.6351,0.6351
P17457,0.5631,0.5631
P19098,0.2368,0.2368
P16426,0.2479,0.2479
P15175,0.1823,0.1823
P11984,0.4527,0.4527
P9340,0.5931,0.5931
P6268,0.4001,0.4001
P9155,0.184,0.184
P13093,0.379,0.379
P17166,0.8072,0.8072
P26929,0.4555,0.4555
P29362,0.7472,0.7472
P10495,0.3201,0.3201
P19640,0.3228,0.3228
P13315,0.4751,0.4751
P881,0.4968,0.4968
P24628,0.9911,0.9911
P25569,0.5225,0.5225
P26126,0.7184,0.7184
P24471,0.1201,0.1201
P18502,0.9807,0.9807
