partid,cfp,co2
P18842,0.6939,0.6939
P8297,0.4487,0.4487
P25460,0.5706,0.5706
P24218,0.1042,0.1042
P12792,0.7552,0.7552
P13377,0.3353,0.3353
P1934,0.3227,0.3227
P21869,0.2135,0.2135
P28362,0.6117,0.6117
P20761,0.4609,0.4609
P21284,0.4285,0.4285
P4964,0.6884,0.6884
P11079,0.1956,0.1956
P29737,0.1882,0.1882
P11622,0.1388,0.1388
P25305,0.721,0.721
P21967,0.5222,0.5222
P15164,0.9144,0.9144
P23429,0.358,0.358
P7084,0.6132,0.6132
P23635,0.303,0.303
P19241,0.2981,0.2981
P7657,0.8698,0.8698
P14560,0.3504,0.3504
P20271,0.4212,0.4212
P1789,0.7733,0.7733
P23028,0.9211,0.9211
P20557,0.1497,0.1497
P21573,0.7815,0.7815
P27842,0.3151,0.3151
P3275,0.9273,0.9273
P3575,0.2897,0.2897
P25792,0.9105,0.9105
P21851,0.4482,0.4482
P11597,0.4791,0.4791
P13899,0.6723,0.6723
P29985,0.4542,0.4542
P21385,0.1663,0.1663
P19635,0.2972,0.2972
P5116,0.6175,0.6175
P2294,0.8377,0.8377
P14377,0.9414,0.9414
P29506,0.4284,0.4284
P23619,0.5411,0.5411
P4860,0.1812,0.1812
P14288,0.5983,0.5983
P20168,0.7429,0.7429
P23350,0.3935,0.3935
P19287,0.8937,0.8937
P18481,0.2938,0.2938
P5157,0.5781,0.5781
P6954,0.1682,0.1682
P29540,0.8428,0.8428
P26781,0.9675,0.9675
P28795,0.6724,0.6724
P25214,0.1064,0.1064
P19557,0.4211,0.4211
P9996,0.6957,0.6957
P3265,0.9868,0.9868
P18365,0.2376,0.2376
P1961,0.9639,0.9639
P16789,0.9899,0.9899
P723,0.8126,0.8126
P23681,0.4125,0.4125
P12458,0.7099,0.7099
P67,0.497,0.497
P12414,0.7583,0.7583
P126,0.633,0.633
P12178,0.1577,0.1577
P2709,0.7533,0.7533
P25220,0.9911,0.9911
P20599,0.8719,0.8719
P14369,0.3137,0.3137
P18687,0.2407,0.2407
P19201,0.702,0.702
P11556,0.572,0.572
P13464,0.1381,0.1381
P25808,0.7257,0.7257
P26371,0.8836,0.8836
P13397,0.6065,0.6065
P19168,0.6083,0.6083
P23379,0.1019,0.1019
P1140,0.6836,0.6836
P12540,0.5225,0.5225
P26800,0.4989,0.4989
P1282,0.9939,0.9939
P6684,0.5974,0.5974
P26620,0.4805,0.4805
P10875,0.4004,0.4004
P7092,0.3479,0.3479
P4347,0.8607,0.8607
P22737,0.6627,0.6627
P7560,0.6996,0.6996
P24204,0.4511,0.4511
P12906,0.3711,0.3711
P27882,0.2409,0.2409
P23456,0.1142,0.1142
P7789,0.4338,0.4338
P28094,0.7532,0.7532
P8567,0.6492,0.6492
P27053,0.7522,0.7522
P20819,0.1779,0.1779
P16817,0.9798,0.9798
P18506,0.4192,0.4192
P22162,0.7618,0.7618
P14240,0.9189,0.9189
P17900,0.4843,0.4843
P12913,0.8332,0.8332
P22851,0.6531,0.6531
P28834,0.366,0.366
P18537,0.9093,0.9093
P11059,0.4989,0.4989
P10673,0.1745,0.1745
P19726,0.5718,0.5718
P12586,0.8776,0.8776
P17062,0.5506,0.5506
P20192,0.5658,0.5658
P2363,0.3285,0.3285
P17066,0.7399,0.7399
P7753,0.4221,0.4221
P7776,0.2859,0.2859
P20948,0.6198,0.6198
P19194,0.4363,0.4363
P12290,0.4901,0.4901
P6595,0.894,0.894
P24800,0.1236,0.1236
P25497,0.2429,0.2429
P26062,0.9607,0.9607
P28053,0.842,0.842
P12206,0.4225,0.4225
P28690,0.6685,0.6685
P21322,0.1033,0.1033
P5315,0.1114,0.1114
P10525,0.9409,0.9409
P2881,0.6595,0.6595
P16187,0.9372,0.9372
P6305,0.6435,0.6435
P21897,0.4191,0.4191
P16198,0.2897,0.2897
P3978,0.5733,0.5733
P6040,0.2536,0.2536
P8822,0.7064,0.7064
P6020,0.6971,0.6971
P7397,0.9118,0.9118
P29425,0.8023,0.8023
P1613,0.4381,0.4381
