partid,cfp,co2
P29187,0.8389,0.8389
P11218,0.6457,0.6457
P23955,0.664,0.664
P29242,0.5319,0.5319
P22729,0.2101,0.2101
P17080,0.4166,0.4166
P2842,0.9639,0.9639
P20756,0.2657,0.2657
P1563,0.1663,0.1663
P12804,0.8209,0.8209
P23897,0.5759,0.5759
P14613,0.2092,0.2092
P21418,0.5747,0.5747
P18181,0.6139,0.6139
P16545,0.8348,0.8348
P1250,0.217,0.217
P9052,0.6433,0.6433
P24140,0.7423,0.7423
P26137,0.9624,0.9624
P27254,0.9309,0.9309
P28555,0.2194,0.2194
P3249,0.6218,0.6218
P15085,0.8057,0.8057
P29417,0.8164,0.8164
P29590,0.6191,0.6191
P20976,0.2909,0.2909
P1524,0.9067,0.9067
P7832,0.9505,0.9505
P6187,0.2639,0.2639
P2798,0.4696,0.4696
P24237,0.274,0.274
P15978,0.6269,0.6269
P18111,0.8184,0.8184
P9900,0.3073,0.3073
P14723,0.7164,0.7164
P8740,0.23,0.23
P5618,0.539,0.539
P24055,0.4862,0.4862
P22328,0.3992,0.3992
P7430,0.5596,0.5596
P22866,0.3176,0.3176
P9415,0.8751,0.8751
P20353,0.669,0.669
P7055,0.4662,0.4662
P3432,0.1625,0.1625
P1173,0.2276,0.2276
P2524,0.7652,0.7652
P14634,0.7296,0.7296
P18421,0.2154,0.2154
P16793,0.3373,0.3373
P735,0.9717,0.9717
P23262,0.8449,0.8449
P2957,0.6726,0.6726
P26275,0.7302,0.7302
P20613,0.3454,0.3454
P14246,0.9954,0.9954
P7927,0.1134,0.1134
P1433,0.6537,0.6537
P15235,0.6552,0.6552
P24937,0.7958,0.7958
P7161,0.4478,0.4478
P18282,0.2511,0.2511
P15021,0.7602,0.7602
P10810,0.5817,0.5817
P19992,0.1964,0.1964
P13943,0.5061,0.5061
P6201,0.9845,0.9845
P19753,0.7161,0.7161
P21027,0.6411,0.6411
P8151,0.8,0.8
P3574,0.5411,0.5411
P2077,0.3119,0.3119
P25071,0.5429,0.5429
P600,0.3459,0.3459
P10209,0.1777,0.1777
P9772,0.7819,0.7819
P17926,0.2097,0.2097
P4361,0.6358,0.6358
P19769,0.3266,0.3266
P27486,0.6765,0.6765
P11316,0.9769,0.9769
P29690,0.1178,0.1178
P29383,0.8915,0.8915
P2912,0.8538,0.8538
