partid,parents_partid,qty
P3531,P731,1
P6687,P1366,1
P19188,P3923,1
P13302,P2721,1
P23686,P4859,1
P8620,P1767,1
P5612,P1160,1
P25260,P5187,1
P25300,P5194,1
P9823,P2000,1
P7664,P1568,1
P27485,P5658,1
P16546,P3402,1
P27891,P5731,1
P6087,P1254,1
P26824,P5526,1
P28989,P5958,1
P26610,P5480,1
P27159,P5597,1
P28545,P5866,1
P24549,P5037,1
P3370,P702,1
P17624,P3608,1
P27809,P5715,1
P15798,P3246,1
P24863,P5106,1
P2112,P433,1
P9089,P1860,1
P26452,P5448,1
P2618,P538,1
P21019,P4317,1
P24422,P5011,1
P7178,P1475,1
P912,P188,1
P6452,P1321,1
P15449,P3175,1
P20726,P4254,1
P16340,P3357,1
P1361,P278,1
P10367,P2113,1
P13288,P2717,1
P28124,P5772,1
P1943,P396,1
P3910,P805,1
P23232,P4752,1
P22256,P4556,1
P22795,P4664,1
P6169,P1266,1
P9124,P1867,1
P6699,P1368,1
P13070,P2673,1
P434,P85,1
P18265,P3749,1
P3138,P649,1
P15357,P3156,1
P7467,P1531,1
P24099,P4949,1
P6847,P1405,1
P408,P80,1
P19214,P3927,1
P25047,P5135,1
P439,P86,1
P12991,P2652,1
P2893,P590,1
P1784,P360,1
P18603,P3813,1
P19331,P3950,1
P16182,P3327,1
P19506,P3985,1
P5901,P1215,1
P7372,P1514,1
P5879,P1212,1
P5467,P1131,1
P25284,P5192,1
P13763,P2823,1
P9795,P1996,1
P8917,P1827,1
P13596,P2792,1
P24538,P5034,1
P19593,P4007,1
P3112,P641,1
P21406,P4393,1
P10580,P2162,1
P9660,P1971,1
P12223,P2488,1
P26762,P5507,1
P1278,P264,1
P17256,P3532,1
P8188,P1684,1
P1302,P268,1
P26012,P5351,1
P3774,P781,1
P24988,P5126,1
P6969,P1429,1
P11587,P2372,1
P21265,P4367,1
P626,P125,1
P7262,P1490,1
P28932,P5946,1
P14048,P2885,1
P15340,P3151,1
