partid,parents_partid,qty
P18842,P3858,1
P8297,P1702,1
P25460,P5231,1
P24218,P4974,1
P12792,P2603,1
P13377,P2738,1
P1934,P394,1
P21869,P4496,1
P28362,P5829,1
P20761,P4259,1
P21284,P4370,1
P4964,P1029,1
P11079,P2265,1
P29737,P6105,1
P11622,P2376,1
P25305,P5194,1
P21967,P4512,1
P15164,P3115,1
P23429,P4801,1
P7084,P1453,1
P23635,P4849,1
P19241,P3933,1
P7657,P1567,1
P14560,P2989,1
P20271,P4149,1
P1789,P362,1
P23028,P4716,1
P20557,P4210,1
P21573,P4431,1
P27842,P5723,1
P3275,P685,1
P3575,P740,1
P25792,P5303,1
P21851,P4492,1
P11597,P2373,1
P13899,P2850,1
P29985,P6152,1
P21385,P4389,1
P19635,P4014,1
P5116,P1064,1
P2294,P467,1
P14377,P2951,1
P29506,P6056,1
P23619,P4844,1
P4860,P1006,1
P14288,P2937,1
P20168,P4126,1
P23350,P4781,1
P19287,P3942,1
P18481,P3787,1
P5157,P1072,1
P6954,P1427,1
P29540,P6065,1
P26781,P5510,1
P28795,P5921,1
P25214,P5175,1
P19557,P3997,1
P9996,P2032,1
P3265,P682,1
P18365,P3765,1
P1961,P402,1
P16789,P3444,1
P723,P151,1
P23681,P4858,1
P12458,P2535,1
P67,P18,1
P12414,P2524,1
P126,P31,1
P12178,P2481,1
P2709,P556,1
P25220,P5175,1
P20599,P4216,1
P14369,P2950,1
P18687,P3827,1
P19201,P3925,1
P11556,P2362,1
P13464,P2765,1
P25808,P5307,1
P26371,P5431,1
P13397,P2747,1
P19168,P3917,1
P23379,P4788,1
P1140,P236,1
P12540,P2554,1
P26800,P5517,1
P1282,P264,1
P6684,P1366,1
P26620,P5483,1
P10875,P2226,1
P7092,P1454,1
P4347,P901,1
P22737,P4651,1
P7560,P1547,1
P24204,P4969,1
P12906,P2632,1
P27882,P5730,1
P23456,P4808,1
P7789,P1593,1
P28094,P5767,1
P8567,P1758,1
P27053,P5572,1
P20819,P4270,1
P16817,P3447,1
P18506,P3791,1
P22162,P4541,1
P14240,P2929,1
P17900,P3668,1
P12913,P2633,1
P22851,P4676,1
P28834,P5927,1
P18537,P3794,1
P11059,P2262,1
P10673,P2187,1
P19726,P4030,1
P12586,P2563,1
P17062,P3497,1
P20192,P4133,1
P2363,P485,1
P17066,P3497,1
P7753,P1585,1
P7776,P1589,1
P20948,P4302,1
P19194,P3923,1
P12290,P2499,1
P6595,P1346,1
P24800,P5097,1
P25497,P5239,1
P26062,P5365,1
P28053,P5759,1
P12206,P2485,1
P28690,P5900,1
P21322,P4375,1
P5315,P1108,1
P10525,P2145,1
P2881,P589,1
P16187,P3327,1
P6305,P1295,1
P21897,P4502,1
P16198,P3329,1
P3978,P819,1
P6040,P1247,1
P8822,P1810,1
P6020,P1243,1
P7397,P1517,1
P29425,P6041,1
P1613,P326,1
P6220,P1276,1
P4532,P938,1
P24436,P5012,1
P5138,P1069,1
P25418,P5225,1
P11883,P2430,1
P20454,P4190,1
P5211,P1087,1
P14987,P3081,1
P23951,P4914,1
P13259,P2712,1
P18549,P3798,1
P21613,P4440,1
P24738,P5083,1
P28649,P5894,1
P14998,P3082,1
P4244,P871,1
P18302,P3754,1
P21394,P4391,1
P4260,P880,1
P22804,P4668,1
P10224,P2079,1
P9107,P1863,1
P25784,P5302,1
P15253,P3136,1
P1710,P344,1
P2810,P576,1
P13366,P2736,1
P29556,P6068,1
P17903,P3669,1
P7641,P1561,1
P11288,P2307,1
P14338,P2945,1
P1395,P287,1
P5935,P1220,1
P16282,P3345,1
P22598,P4623,1
P25560,P5254,1
P2951,P606,1
P21089,P4331,1
P1936,P395,1
P17131,P3510,1
P24808,P5098,1
P24470,P5017,1
P16634,P3418,1
P5496,P1136,1
P26950,P5548,1
P936,P198,1
P6193,P1269,1
P28925,P5943,1
P12988,P2652,1
P19062,P3896,1
P27705,P5699,1
P24627,P5058,1
P5206,P1086,1
P7698,P1574,1
P8343,P1711,1
P12292,P2499,1
P12302,P2500,1
P27765,P5708,1
P21555,P4427,1
P16840,P3452,1
P16369,P3362,1
P21688,P4460,1
P9350,P1914,1
P14269,P2933,1
P3854,P796,1
P2884,P589,1
P5862,P1210,1
P18998,P3885,1
P12344,P2507,1
P3355,P697,1
P13591,P2791,1
P9412,P1923,1
P8674,P1777,1
P322,P64,1
P28547,P5867,1
P22030,P4521,1
P23366,P4784,1
P8390,P1717,1
P27059,P5575,1
P5611,P1160,1
P12080,P2460,1
P13222,P2703,1
P23543,P4828,1
P16607,P3412,1
P5285,P1102,1
P5465,P1131,1
P3893,P802,1
P13180,P2696,1
P6560,P1339,1
P26069,P5367,1
P26143,P5383,1
P27121,P5591,1
P4357,P903,1
P4245,P871,1
P19781,P4041,1
P15735,P3234,1
P9673,P1973,1
P24301,P4988,1
P27007,P5560,1
P24098,P4949,1
P12664,P2576,1
P21408,P4394,1
P3829,P792,1
P25292,P5193,1
P29756,P6107,1
P20247,P4145,1
P5213,P1087,1
P3992,P821,1
P24904,P5113,1
P14776,P3035,1
P19370,P3956,1
P4143,P851,1
P156,P36,1
P9627,P1964,1
P24085,P4945,1
P29668,P6093,1
P9962,P2026,1
P15987,P3278,1
P98,P24,1
P25604,P5265,1
P16604,P3412,1
P7043,P1442,1
P25465,P5233,1
P26690,P5493,1
P12394,P2517,1
P12361,P2511,1
P27776,P5709,1
P7922,P1624,1
P2795,P570,1
P24468,P5017,1
P5305,P1107,1
P28984,P5958,1
P14976,P3080,1
P8402,P1720,1
P12476,P2538,1
P26832,P5527,1
P26843,P5528,1
P29504,P6056,1
P23073,P4724,1
P27311,P5625,1
P26366,P5430,1
P27125,P5592,1
P388,P77,1
P11091,P2266,1
P16214,P3332,1
P23189,P4744,1
P23873,P4898,1
P6425,P1317,1
P24527,P5032,1
P12741,P2590,1
P2617,P538,1
P6702,P1369,1
P17674,P3620,1
P11838,P2419,1
P10332,P2106,1
P3125,P644,1
P15792,P3244,1
P9162,P1875,1
P29615,P6079,1
P10339,P2107,1
P16948,P3477,1
P27076,P5579,1
P12070,P2458,1
P2331,P476,1
P27198,P5604,1
P3673,P760,1
P18671,P3824,1
P8439,P1729,1
P18733,P3838,1
P22424,P4587,1
P4044,P829,1
P14156,P2907,1
P21626,P4442,1
P19433,P3970,1
P9777,P1993,1
P26524,P5464,1
P18148,P3725,1
P9330,P1911,1
P10654,P2183,1
P23858,P4896,1
P11626,P2377,1
P25665,P5276,1
P6663,P1363,1
P5175,P1076,1
P8936,P1830,1
P15242,P3133,1
P24777,P5093,1
P21355,P4383,1
P6248,P1281,1
P259,P53,1
P6417,P1315,1
P8849,P1813,1
P1614,P327,1
P1142,P237,1
P6807,P1397,1
P29174,P5994,1
P640,P129,1
P15273,P3139,1
P13811,P2836,1
P26007,P5350,1
P14665,P3011,1
P27638,P5689,1
P4890,P1011,1
P5541,P1146,1
P10967,P2242,1
P19517,P3988,1
P13901,P2850,1
P12647,P2573,1
P22338,P4570,1
P25704,P5286,1
P5330,P1110,1
P28700,P5903,1
P6107,P1257,1
P27993,P5749,1
P17363,P3553,1
P21317,P4375,1
P2021,P416,1
P4164,P855,1
P431,P85,1
P3844,P795,1
P24065,P4942,1
P14577,P2991,1
P19936,P4076,1
P23673,P4857,1
P27818,P5718,1
P20279,P4151,1
P8381,P1717,1
P24992,P5126,1
P11913,P2434,1
P19856,P4058,1
P23944,P4913,1
P11619,P2375,1
P16917,P3468,1
P23935,P4910,1
P14485,P2974,1
P20803,P4266,1
P19458,P3974,1
P20967,P4306,1
P15134,P3109,1
P27255,P5615,1
P6562,P1339,1
P9943,P2023,1
P8161,P1678,1
P28193,P5790,1
P9722,P1982,1
P5019,P1040,1
P6330,P1300,1
P15451,P3175,1
P22558,P4617,1
P16283,P3345,1
P6245,P1280,1
P21180,P4353,1
P28660,P5896,1
P22579,P4620,1
P20090,P4110,1
P7174,P1475,1
P17013,P3489,1
P28264,P5804,1
P17707,P3628,1
P2821,P579,1
P26226,P5400,1
P25096,P5144,1
P13557,P2784,1
P22166,P4541,1
P10252,P2087,1
P17260,P3533,1
P4512,P934,1
P5933,P1220,1
P20242,P4144,1
P28258,P5803,1
P23087,P4727,1
P24512,P5027,1
P21905,P4503,1
P5500,P1137,1
P7388,P1516,1
P15598,P3207,1
P23114,P4733,1
P20481,P4194,1
P29805,P6114,1
P3280,P685,1
P45,P12,1
P8356,P1712,1
P25301,P5194,1
P13177,P2696,1
P16860,P3454,1
P13721,P2817,1
P14811,P3040,1
P7205,P1480,1
P17836,P3656,1
P12305,P2502,1
P18675,P3824,1
P19637,P4014,1
P13728,P2818,1
P21326,P4377,1
P8989,P1841,1
P503,P99,1
P27426,P5646,1
P3371,P702,1
P3127,P645,1
P23380,P4788,1
P8386,P1717,1
P9019,P1846,1
P3442,P715,1
P22365,P4577,1
P13351,P2732,1
P11206,P2291,1
P4577,P946,1
P17093,P3502,1
P1297,P267,1
P25805,P5306,1
P15259,P3137,1
P4272,P882,1
P18138,P3722,1
P4072,P836,1
P15968,P3275,1
P26376,P5432,1
P15757,P3239,1
P15708,P3230,1
P25387,P5214,1
P279,P55,1
P2720,P557,1
P29597,P6075,1
P26410,P5439,1
P2269,P464,1
P20901,P4292,1
P13379,P2742,1
P21372,P4387,1
P24112,P4953,1
P12499,P2544,1
P2372,P486,1
P23418,P4799,1
P11219,P2296,1
P29159,P5992,1
P21795,P4482,1
P13831,P2838,1
P16666,P3423,1
P7022,P1438,1
P26112,P5374,1
P20199,P4135,1
P28369,P5830,1
P3579,P742,1
P18224,P3740,1
P11207,P2291,1
P1100,P229,1
P19276,P3940,1
P11958,P2441,1
P29100,P5981,1
P13289,P2717,1
P4159,P854,1
P3709,P768,1
P21221,P4361,1
P21519,P4421,1
P2066,P425,1
P11752,P2406,1
P2343,P477,1
P6977,P1430,1
P16269,P3343,1
P11938,P2439,1
P14801,P3039,1
P18840,P3858,1
P22768,P4659,1
P29708,P6099,1
P25911,P5328,1
P300,P59,1
P8727,P1790,1
P23126,P4735,1
P28461,P5848,1
