partid,parents_partid,qty
P29187,P5995,1
P11218,P2294,1
P23955,P4914,1
P29242,P6006,1
P22729,P4650,1
P17080,P3500,1
P2842,P582,1
P20756,P4257,1
P1563,P319,1
P12804,P2606,1
P23897,P4901,1
P14613,P2999,1
P21418,P4400,1
P18181,P3731,1
P16545,P3402,1
P1250,P258,1
P9052,P1853,1
P24140,P4958,1
P26137,P5382,1
P27254,P5615,1
P28555,P5872,1
P3249,P680,1
P15085,P3098,1
P29417,P6040,1
P29590,P6073,1
P20976,P4307,1
P1524,P313,1
P7832,P1602,1
P6187,P1268,1
P2798,P573,1
P24237,P4977,1
P15978,P3276,1
P18111,P3713,1
P9900,P2015,1
P14723,P3027,1
P8740,P1791,1
P5618,P1161,1
P24055,P4939,1
P22328,P4568,1
P7430,P1525,1
P22866,P4678,1
P9415,P1924,1
P20353,P4167,1
P7055,P1445,1
P3432,P712,1
P1173,P242,1
P2524,P522,1
P14634,P3005,1
P18421,P3775,1
P16793,P3444,1
P735,P152,1
P23262,P4762,1
P2957,P607,1
P26275,P5411,1
P20613,P4218,1
P14246,P2930,1
P7927,P1624,1
P1433,P295,1
P15235,P3132,1
P24937,P5117,1
P7161,P1472,1
P18282,P3752,1
P15021,P3086,1
P10810,P2213,1
P19992,P4089,1
P13943,P2860,1
P6201,P1272,1
P19753,P4035,1
P21027,P4318,1
P8151,P1677,1
P3574,P740,1
P2077,P428,1
P25071,P5141,1
P600,P120,1
P10209,P2077,1
P9772,P1992,1
P17926,P3674,1
P4361,P905,1
P19769,P4039,1
P27486,P5658,1
P11316,P2312,1
P29690,P6096,1
P29383,P6033,1
P2912,P595,1
P29416,P6040,1
P8731,P1790,1
P21684,P4459,1
P18626,P3816,1
P21787,P4481,1
P4491,P929,1
P25079,P5143,1
P13365,P2735,1
P12134,P2470,1
P25586,P5259,1
P26280,P5411,1
P14411,P2956,1
P21092,P4331,1
P26770,P5509,1
P15572,P3201,1
P12807,P2608,1
P8367,P1714,1
P1154,P239,1
P3972,P818,1
P20021,P4096,1
P13658,P2803,1
P19126,P3906,1
P10771,P2206,1
P11299,P2310,1
P22297,P4564,1
P8029,P1651,1
P23603,P4841,1
P26577,P5473,1
P21976,P4513,1
P5870,P1210,1
P1500,P308,1
P10855,P2222,1
P20125,P4119,1
P13766,P2824,1
P8991,P1841,1
P16593,P3410,1
P10888,P2229,1
P258,P53,1
P3877,P800,1
P7821,P1597,1
P28597,P5882,1
P1601,P325,1
P29529,P6062,1
P6307,P1295,1
P23724,P4868,1
P27518,P5666,1
P10442,P2131,1
P21043,P4320,1
P5750,P1186,1
P12785,P2600,1
P27190,P5603,1
P26457,P5449,1
P29034,P5966,1
P6722,P1377,1
P15442,P3173,1
P20800,P4265,1
P10732,P2199,1
P22951,P4696,1
P27170,P5600,1
P12651,P2575,1
P19644,P4015,1
P4592,P951,1
P23309,P4772,1
P9408,P1923,1
P7082,P1452,1
P8207,P1687,1
P10947,P2239,1
P16074,P3296,1
P709,P145,1
P18281,P3751,1
P11807,P2416,1
P14831,P3043,1
P15292,P3143,1
P20559,P4210,1
P27721,P5701,1
P21480,P4412,1
P9405,P1923,1
P17564,P3595,1
P26392,P5434,1
P13908,P2851,1
P27867,P5728,1
P14701,P3021,1
P19282,P3941,1
P7957,P1631,1
P4294,P886,1
P3886,P801,1
P861,P179,1
P25117,P5153,1
P17207,P3524,1
P26882,P5536,1
P15583,P3203,1
P25697,P5286,1
P27915,P5734,1
P28327,P5821,1
P17968,P3683,1
P18501,P3790,1
P25531,P5249,1
P19217,P3928,1
P1149,P238,1
P19242,P3933,1
P8899,P1824,1
P18489,P3788,1
P23618,P4843,1
P22560,P4617,1
P28848,P5929,1
P5515,P1140,1
P9677,P1973,1
P11143,P2277,1
P18889,P3865,1
P16185,P3327,1
P6747,P1382,1
P23930,P4910,1
P27268,P5617,1
P3503,P725,1
P16503,P3392,1
P4388,P909,1
P15478,P3182,1
P26931,P5545,1
P20855,P4279,1
P15139,P3110,1
P12045,P2454,1
P21209,P4358,1
P2681,P550,1
P10839,P2219,1
P10883,P2227,1
P24455,P5015,1
P358,P72,1
P4057,P832,1
P1314,P270,1
P27839,P5723,1
P25335,P5198,1
P13562,P2786,1
P29643,P6086,1
P20054,P4102,1
P3068,P631,1
P25755,P5296,1
P19354,P3953,1
P4446,P922,1
P5324,P1109,1
P28800,P5922,1
P10502,P2140,1
P14980,P3080,1
P4767,P989,1
P6004,P1239,1
P17975,P3684,1
P7025,P1439,1
P14971,P3078,1
P5705,P1176,1
